role,experience_years,education,num_projects,certifications,location_tier,company_type,skills,salary_lpa
Cybersecurity Analyst,1.2,Bachelors,2,0,Tier-2,Service-based,azure|ci/cd|linux|network security|python|risk assessment|siem,7.3
Data Analyst,3.3,Masters,4,2,Tier-3,Service-based,data visualization|excel|python|sql|statistics|tableau,7.89
Cybersecurity Analyst,0.5,PhD,2,1,Tier-1,Enterprise,aws|azure|ci/cd|linux|network security|risk assessment,12.15
Product Manager,1.6,Masters,4,2,Tier-2,Product-based,a/b testing|agile|jira|product management|sql|user research|wireframing,20.86
DevOps Engineer,2.3,Bachelors,6,1,Tier-3,Product-based,aws|ci/cd|docker|gcp|linux|python|terraform,11.75
Data Analyst,1.1,Masters,3,3,Tier-1,Startup,excel|matplotlib|power bi|r|sql|statistics|tableau,8.59
Business Analyst,0.0,Bachelors,4,3,Tier-1,Product-based,agile|excel|power bi|requirements gathering|sql|stakeholder management,8.28
Data Scientist,1.4,Masters,4,0,Tier-1,Service-based,data visualization|machine learning|numpy|pandas|python|scikit-learn|seaborn|sql,12.13
Product Manager,2.4,Masters,5,1,Tier-1,Startup,agile|data visualization|jira|product management|user research|wireframing,21.69
Data Scientist,5.1,Bachelors,3,0,Tier-2,Service-based,data visualization|excel|matplotlib|pandas|sql|statistics,15.36
Cloud Engineer,2.1,Masters,2,1,Tier-1,Service-based,aws|azure|docker|gcp|jenkins|kubernetes|system design,10.61
Backend Developer,0.2,Masters,3,1,Tier-1,Startup,flask|java|python|redis|rest api|sql|system design,8.8
Cloud Engineer,0.6,Bachelors,5,1,Tier-2,Startup,aws|azure|ci/cd|docker|gcp|jenkins|kubernetes|python|system design,9.51
Product Manager,2.0,Bachelors,5,0,Tier-1,Service-based,a/b testing|agile|jira|requirements gathering|sql,15.18
Backend Developer,1.3,Masters,4,2,Tier-1,Startup,django|flask|java|mongodb|postgresql|python|rest api|sql|system design,13.59
Frontend Developer,0.2,Masters,2,1,Tier-1,Service-based,css|git|html|javascript,7.86
AI Engineer,1.3,Bachelors,3,1,Tier-1,Startup,computer vision|deep learning|machine learning|nlp|python|pytorch|scikit-learn|tensorflow,13.92
Cybersecurity Analyst,6.1,Bachelors,5,1,Tier-1,Service-based,ci/cd|linux|network security|risk assessment,14.98
AI Engineer,9.9,Bachelors,3,0,Tier-2,Service-based,docker|machine learning|python|pytorch|system design,25.81
Business Analyst,1.6,Bachelors,1,3,Tier-1,Service-based,agile|jira|power bi|requirements gathering|sql|stakeholder management|statistics,8.49
Data Scientist,1.3,Masters,2,0,Tier-2,Enterprise,data visualization|machine learning|numpy|pandas|python|scikit-learn|statistics,11.21
Cloud Engineer,0.1,Bachelors,3,0,Tier-2,Service-based,aws|azure|ci/cd|docker|gcp|jenkins|kubernetes|terraform,6.97
Software Engineer,1.3,Bachelors,5,0,Tier-1,Product-based,c++|data structures|git|java|rest api|sql|system design,10.57
UI/UX Designer,6.5,Bachelors,3,3,Tier-1,Startup,a/b testing|css|figma|prototyping|ui/ux design|user research,13.76
Data Analyst,1.2,Masters,3,2,Tier-3,Enterprise,data visualization|excel|pandas|power bi|r|sql|tableau,6.68
Software Engineer,0.3,Bachelors,5,2,Tier-1,Service-based,algorithms|c++|data structures|git|java|oop|python|system design,8.68
Data Analyst,1.5,Masters,5,2,Tier-1,Service-based,excel|matplotlib|pandas|power bi|python|r|sql|statistics,9.8
Data Analyst,0.9,Masters,3,2,Tier-1,Service-based,data visualization|excel|power bi|python|sql|statistics|tableau,8.04
AI Engineer,2.5,PhD,2,1,Tier-2,Product-based,aws|computer vision|deep learning|kubernetes|machine learning|nlp|pytorch|scikit-learn,19.11
Full Stack Developer,0.0,Bachelors,4,2,Tier-2,Product-based,django|html|javascript|react|rest api,8.53
Backend Developer,2.6,Masters,4,2,Tier-2,Product-based,java|mongodb|node.js|python|redis|rest api|spring boot|sql|system design,12.3
Data Analyst,0.3,Bachelors,5,0,Tier-2,Enterprise,data visualization|numpy|pandas|power bi|python|requirements gathering|sql|statistics|tableau,7.09
DevOps Engineer,0.0,Bachelors,2,3,Tier-1,Enterprise,aws|azure|docker|jenkins|kubernetes|linux|python,8.57
Software Engineer,3.7,Bachelors,3,0,Tier-1,Service-based,agile|algorithms|c++|data structures|git|java|linux|oop|system design,11.14
AI Engineer,1.3,Bachelors,3,3,Tier-3,Enterprise,aws|computer vision|deep learning|kubernetes|machine learning|nlp|scikit-learn,10.25
UI/UX Designer,1.0,Masters,2,1,Tier-1,Service-based,figma|prototyping|ui/ux design|user research,8.84
AI Engineer,4.0,Bachelors,1,0,Tier-1,Enterprise,machine learning|nlp|python|pytorch|tensorflow,21.75
Cybersecurity Analyst,0.6,Bachelors,3,0,Tier-3,Startup,ci/cd|linux|network security|penetration testing|risk assessment|siem,5.67
Backend Developer,3.0,PhD,3,0,Tier-3,Product-based,java|node.js|postgresql|python|redis|rest api|system design,12.93
AI Engineer,0.8,Masters,3,0,Tier-2,Service-based,computer vision|deep learning|machine learning|python|pytorch|scikit-learn|system design|tensorflow,11.36
Backend Developer,2.5,Bachelors,3,3,Tier-3,Product-based,docker|fastapi|java|mongodb|node.js|python|sql|system design,10.36
Product Manager,0.3,Masters,5,0,Tier-2,Service-based,agile|data visualization|product management|requirements gathering|sql,10.95
Backend Developer,0.9,Bachelors,7,0,Tier-2,Service-based,flask|node.js|postgresql|python|rest api|spring boot|sql,6.85
AI Engineer,2.2,Masters,6,0,Tier-2,Enterprise,computer vision|deep learning|machine learning|python|pytorch|tensorflow,16.49
AI Engineer,2.5,Bachelors,2,1,Tier-1,Service-based,computer vision|deep learning|machine learning|nlp|pytorch|scikit-learn,16.67
Data Analyst,0.4,Bachelors,4,2,Tier-2,Startup,data visualization|excel|matplotlib|pandas|sql|statistics|tableau,7.0
Frontend Developer,2.1,Bachelors,5,1,Tier-2,Enterprise,css|figma|html|javascript|typescript,8.78
Data Scientist,1.2,Masters,6,1,Tier-1,Product-based,data visualization|machine learning|numpy|python|scikit-learn|sql|statistics,16.51
DevOps Engineer,4.8,Masters,3,0,Tier-3,Startup,aws|docker|gcp|jenkins|kubernetes|linux|system design|terraform,14.43
Backend Developer,3.1,Masters,5,0,Tier-1,Product-based,java|postgresql|python|rest api|sql|system design,15.06
AI Engineer,0.9,Bachelors,5,1,Tier-1,Service-based,computer vision|kubernetes|machine learning|nlp|python|pytorch,12.45
Backend Developer,3.8,Bachelors,2,1,Tier-1,Startup,java|node.js|postgresql|python|rest api|sql,14.25
AI Engineer,0.7,PhD,2,1,Tier-2,Enterprise,computer vision|deep learning|kubernetes|machine learning|nlp|pytorch,13.56
Business Analyst,3.5,Masters,2,0,Tier-3,Enterprise,excel|power bi|stakeholder management,8.32
AI Engineer,0.8,Bachelors,3,0,Tier-3,Enterprise,computer vision|deep learning|docker|python|pytorch,10.43
Frontend Developer,9.1,Bachelors,7,1,Tier-2,Product-based,agile|css|git|html|javascript|react,20.19
UI/UX Designer,1.2,Masters,7,1,Tier-1,Product-based,a/b testing|css|ui/ux design|user research|wireframing,11.32
Cloud Engineer,0.6,Masters,4,0,Tier-1,Service-based,aws|azure|ci/cd|gcp|kubernetes,9.74
UI/UX Designer,5.7,Masters,7,2,Tier-2,Enterprise,agile|css|figma|html|ui/ux design|user research,12.61
Data Analyst,1.9,Bachelors,5,0,Tier-2,Startup,data visualization|excel|power bi|python|requirements gathering|statistics|tableau,7.78
Software Engineer,7.0,Bachelors,3,1,Tier-1,Startup,c++|data structures|git|java|linux|sql|system design,14.37
Frontend Developer,6.9,Bachelors,2,0,Tier-1,Service-based,css|git|html|javascript|node.js|react|typescript,12.27
Backend Developer,8.0,Bachelors,5,0,Tier-1,Product-based,java|node.js|python|system design,26.29
Full Stack Developer,0.6,Masters,4,1,Tier-1,Product-based,flask|html|javascript|mongodb|node.js|python|rest api|sql,13.77
Data Scientist,1.1,Bachelors,4,1,Tier-1,Service-based,data visualization|excel|numpy|python|scikit-learn|seaborn|sql,10.86
UI/UX Designer,1.5,Bachelors,2,2,Tier-2,Product-based,figma|prototyping|user research|wireframing,8.02
DevOps Engineer,4.0,Bachelors,3,0,Tier-2,Enterprise,azure|docker|gcp|linux|python|terraform,11.36
Backend Developer,0.0,Bachelors,4,1,Tier-1,Service-based,docker|java|node.js|python|rest api|sql|system design,6.97
AI Engineer,0.8,Masters,2,0,Tier-2,Product-based,computer vision|deep learning|docker|machine learning|nlp|python|system design|tensorflow,14.12
Backend Developer,0.6,Bachelors,5,0,Tier-1,Product-based,fastapi|java|mongodb|postgresql|python|rest api|sql|system design,10.32
Backend Developer,2.9,Masters,7,0,Tier-2,Startup,java|postgresql|python|rest api|sql,12.99
UI/UX Designer,1.7,Bachelors,4,0,Tier-2,Startup,figma|prototyping|ui/ux design,8.34
Frontend Developer,2.7,Bachelors,3,2,Tier-2,Service-based,css|git|rest api|typescript,7.93
Data Scientist,0.3,Bachelors,2,3,Tier-1,Service-based,data visualization|machine learning|numpy|pandas|python|scikit-learn|statistics,9.45
Cybersecurity Analyst,4.0,Bachelors,1,2,Tier-2,Service-based,aws|linux|network security|penetration testing|risk assessment|siem,12.22
Cloud Engineer,4.7,Masters,3,0,Tier-1,Enterprise,aws|docker|gcp|kubernetes|linux|system design|terraform,16.96
Frontend Developer,0.9,Masters,2,1,Tier-2,Product-based,agile|git|html|javascript|react|typescript,10.15
Business Analyst,5.7,Bachelors,2,0,Tier-2,Startup,data visualization|excel|power bi|requirements gathering|sql|stakeholder management,10.96
Machine Learning Engineer,2.3,Masters,6,1,Tier-1,Product-based,airflow|deep learning|docker|machine learning|python|pytorch|scikit-learn|system design,19.07
DevOps Engineer,3.9,Bachelors,1,2,Tier-1,Product-based,ci/cd|docker|jenkins|kubernetes|linux|terraform,14.85
Business Analyst,3.3,Bachelors,3,1,Tier-1,Service-based,agile|data visualization|excel|jira|power bi|python|sql|stakeholder management,9.06
AI Engineer,0.2,Bachelors,4,2,Tier-3,Enterprise,aws|computer vision|deep learning|machine learning|nlp|python|pytorch|system design|tensorflow,10.53
Business Analyst,3.6,Bachelors,5,0,Tier-1,Product-based,agile|data visualization|excel|power bi|python|sql|stakeholder management,13.15
UI/UX Designer,1.7,Masters,3,1,Tier-2,Service-based,figma|prototyping|ui/ux design|user research|wireframing,7.31
Software Engineer,3.9,PhD,5,2,Tier-3,Startup,algorithms|c++|git|oop,11.41
